code,disc_date,stock_ret,mkt_ret,short_pnl
78460,2025-09-17,-0.00595,-0.001567,0.004383
79560,2025-09-17,0.010052,-0.001567,-0.011619
22690,2025-11-19,-0.014076,0.006353,0.020428
22540,2023-12-25,-0.02381,-0.007711,0.016099
13650,2017-02-17,-0.005386,0.002769,0.008155
14580,2017-02-17,-0.006053,0.002769,0.008822
95170,2017-02-17,0.009158,0.002769,-0.006389
13570,2017-03-01,-0.040764,0.010825,0.051589
95170,2017-03-01,0.0249,0.010825,-0.014075
13650,2018-06-08,-0.010082,0.004718,0.0148
15700,2018-06-08,-0.011074,0.004718,0.015792
25160,2018-06-08,0.003509,0.004718,0.00121
81500,2018-06-08,-0.006075,0.004718,0.010793
13650,2018-09-07,-0.007884,0.000584,0.008468
15700,2018-09-07,-0.007035,0.000584,0.007619
25160,2018-09-07,0.009259,0.000584,-0.008676
68030,2018-09-07,0.027778,0.000584,-0.027194
15630,2018-10-31,0.011212,0.009853,-0.001358
15700,2018-10-31,0.013326,0.009853,-0.003473
25160,2018-10-31,0.016418,0.009853,-0.006564
36270,2018-10-31,0.102985,0.009853,-0.093132
87890,2018-10-31,0.043956,0.009853,-0.034103
94240,2018-10-31,0.014184,0.009853,-0.004331
14580,2018-11-08,-0.006066,-0.00037,0.005696
25160,2018-11-08,-0.005291,-0.00037,0.004921
86980,2018-11-08,-0.015444,-0.00037,0.015074
14580,2018-11-14,-0.017495,-0.01392,0.003575
47120,2018-11-14,-0.155405,-0.01392,0.141485
14580,2018-11-19,-0.011246,0.001002,0.012249
38070,2018-11-19,0.009868,0.001002,-0.008866
43440,2018-11-19,0.042553,0.001002,-0.041551
25160,2018-11-28,0.037736,0.012991,-0.024745
43440,2018-11-28,0.136964,0.012991,-0.123973
15630,2019-01-15,0.035421,0.017476,-0.017945
25160,2019-01-15,0.035503,0.017476,-0.018027
36270,2019-01-15,-0.001504,0.017476,0.01898
13650,2019-01-23,0.007126,0.004321,-0.002805
15630,2019-01-23,0.022679,0.004321,-0.018358
86140,2019-01-23,0.011561,0.004321,-0.00724
87890,2019-01-23,0.0,0.004321,0.004321
15680,2019-03-12,0.003159,0.003243,8.4e-05
15680,2019-07-23,0.024918,0.008376,-0.016542
29310,2019-07-23,0.008036,0.008376,0.00034
65840,2019-07-23,-0.059441,0.008376,0.067817
15790,2019-07-24,0.005056,0.002206,-0.00285
85620,2019-11-13,-0.144681,-0.005128,0.139553
13650,2020-02-21,-0.082437,-0.038869,0.043568
15700,2020-02-21,-0.081155,-0.038869,0.042287
45310,2020-02-21,-0.084507,-0.038869,0.045638
62550,2020-02-21,-0.029885,-0.038869,-0.008984
86140,2020-02-21,-0.04698,-0.038869,0.008111
14810,2020-04-30,-0.031375,-0.007706,0.023669
15700,2020-04-30,-0.032156,-0.007706,0.024451
25160,2020-04-30,-0.045381,-0.007706,0.037675
45310,2020-04-30,-0.068337,-0.007706,0.060631
13560,2020-06-18,-0.014063,0.005008,0.019071
13580,2020-06-18,0.012243,0.005008,-0.007234
14580,2020-06-18,0.016202,0.005008,-0.011193
15630,2020-06-18,0.008871,0.005008,-0.003863
15700,2020-06-18,0.012533,0.005008,-0.007524
15790,2020-06-18,0.013739,0.005008,-0.008731
25160,2020-06-18,0.010178,0.005008,-0.00517
31950,2020-06-18,0.027027,0.005008,-0.022019
94660,2020-06-18,-0.00202,0.005008,0.007028
13560,2020-06-19,0.016811,0.002035,-0.014776
15700,2020-06-19,-0.017535,0.002035,0.01957
25160,2020-06-19,-0.010076,0.002035,0.012111
14340,2020-06-26,-0.007092,-0.011863,-0.004771
15790,2020-06-26,-0.017561,-0.011863,0.005698
25160,2020-06-26,-0.037221,-0.011863,0.025358
78590,2020-06-26,-0.065574,-0.011863,0.053711
81010,2020-06-26,0.022293,-0.011863,-0.034156
86140,2020-06-26,-0.008197,-0.011863,-0.003666
94240,2020-06-26,0.063218,-0.011863,-0.075081
13650,2020-09-03,-0.03642,-0.017475,0.018944
15630,2020-09-03,-0.036345,-0.017475,0.01887
25160,2020-09-03,-0.045204,-0.017475,0.027729
89270,2020-09-03,0.004651,-0.017475,-0.022127
